schemaname,tablename,indexname,indexdef
public,jalapeno_instagram_posts,idx_jalapeno_instagram_posts_image_source,CREATE INDEX idx_jalapeno_instagram_posts_image_source ON public.jalapeno_instagram_posts USING btree (image_source)
public,jalapeno_instagram_posts,idx_jalapeno_instagram_posts_media_kind,CREATE INDEX idx_jalapeno_instagram_posts_media_kind ON public.jalapeno_instagram_posts USING btree (media_kind)
public,jalapeno_instagram_posts,idx_jalapeno_instagram_posts_metrics_disabled_at,CREATE INDEX idx_jalapeno_instagram_posts_metrics_disabled_at ON public.jalapeno_instagram_posts USING btree (metrics_disabled_at)
public,jalapeno_instagram_posts,idx_jalapeno_instagram_posts_metrics_status,CREATE INDEX idx_jalapeno_instagram_posts_metrics_status ON public.jalapeno_instagram_posts USING btree (metrics_status)
public,jalapeno_instagram_posts,idx_jalapeno_instagram_posts_overlay_status,CREATE INDEX idx_jalapeno_instagram_posts_overlay_status ON public.jalapeno_instagram_posts USING btree (overlay_status)
public,jalapeno_instagram_posts,idx_jalapeno_instagram_posts_published_at_desc,CREATE INDEX idx_jalapeno_instagram_posts_published_at_desc ON public.jalapeno_instagram_posts USING btree (published_at DESC)
public,jalapeno_instagram_posts,idx_jalapeno_instagram_posts_published_media_id,CREATE INDEX idx_jalapeno_instagram_posts_published_media_id ON public.jalapeno_instagram_posts USING btree (published_media_id)
public,jalapeno_instagram_posts,idx_jalapeno_instagram_posts_status,CREATE INDEX idx_jalapeno_instagram_posts_status ON public.jalapeno_instagram_posts USING btree (status)
public,jalapeno_instagram_posts,idx_jalapeno_instagram_posts_video_asset_id,CREATE INDEX idx_jalapeno_instagram_posts_video_asset_id ON public.jalapeno_instagram_posts USING btree (video_asset_id)
public,jalapeno_instagram_posts,jalapeno_instagram_posts_pkey,CREATE UNIQUE INDEX jalapeno_instagram_posts_pkey ON public.jalapeno_instagram_posts USING btree (id)
